track len: 1
codec: 0x1005
time: 69.10042, note: 1.0523082
time: 69.1575, note: 1.0308844
time: 69.22041, note: 1.2781768
time: 69.28042, note: 1.3353148
time: 69.340416, note: 1.1714469
time: 69.4005, note: 0.6741221
time: 69.4605, note: 0.9363016
time: 69.51133, note: 1.0589188
time: 69.581085, note: 0.82297504
time: 69.64042, note: 1.1622291
time: 69.7005, note: 0.624392
time: 69.760414, note: 1.2024816
time: 69.82042, note: 0.7063706
time: 69.8805, note: 0.51350534
time: 69.9405, note: 0.6138489
time: 70.00058, note: 1.0600388
time: 70.0605, note: 1.0467356
time: 70.120415, note: 1.3456142
time: 70.18041, note: 1.2425896
time: 70.24042, note: 1.2423368
time: 70.3005, note: 0.63892
time: 70.36041, note: 1.3568158
time: 70.4205, note: 0.6412486
time: 70.480415, note: 1.3364916
time: 70.5405, note: 1.160183
time: 70.60042, note: 1.3504828
time: 70.65442, note: 1.0380857
time: 70.70583, note: 0.732082
time: 70.7605, note: 0.5437883
time: 70.82042, note: 1.4106393
time: 70.88042, note: 1.3332856
time: 70.9405, note: 0.7009356
time: 71.0205, note: 1.0993885
time: 71.080414, note: 1.3782766
time: 71.1405, note: 0.6450453
time: 71.19392, note: 1.0243754
time: 71.245834, note: 0.6817142
time: 71.3005, note: 0.5968364
time: 71.36041, note: 1.4695272
time: 71.4205, note: 1.1529605
time: 71.500496, note: 0.86076367
time: 71.5605, note: 0.93059045
time: 71.620415, note: 1.316746
time: 71.68041, note: 1.4009881
time: 71.74042, note: 1.2750701
time: 71.8005, note: 0.5497993
time: 71.8605, note: 0.66051567
time: 71.9605, note: 0.8020459
time: 72.02042, note: 1.3177491
time: 72.0805, note: 0.67311037
time: 72.14042, note: 1.3112814
time: 72.20042, note: 1.4925435
time: 72.2605, note: 0.6445521
time: 72.320496, note: 0.5521553
time: 72.3805, note: 0.5237881
time: 72.440414, note: 1.3619889
time: 72.49775, note: 1.3534168
time: 72.55175, note: 0.5898453
time: 72.60575, note: 1.4978496
time: 72.6605, note: 0.6054672
time: 72.7205, note: 0.519097
time: 72.7805, note: 0.5752778
time: 72.8405, note: 1.1111219
time: 72.920586, note: 1.3690798
time: 72.980415, note: 1.3242677
time: 73.03408, note: 0.9962738
time: 73.08583, note: 0.5174397
time: 73.1405, note: 0.55383635
time: 73.200584, note: 0.7533984
time: 73.260414, note: 1.466534
time: 73.325836, note: 0.65945345
time: 73.40058, note: 0.7322552
time: 73.46042, note: 1.3822474
time: 73.5205, note: 0.6588904
time: 73.580414, note: 1.3716538
time: 73.6405, note: 0.6864958
time: 73.70042, note: 1.4865932
time: 73.7605, note: 0.5850744
time: 73.88042, note: 1.4296421
time: 73.940414, note: 1.4059854
time: 74.00042, note: 1.4969561
time: 74.056915, note: 1.0207936
time: 74.120415, note: 1.0470712
time: 74.1805, note: 0.76758146
time: 74.2405, note: 0.695796
time: 74.300415, note: 1.4966421
time: 74.40041, note: 1.214699
time: 74.4605, note: 0.6847116
time: 74.51725, note: 1.0546228
time: 74.5805, note: 1.1051209
time: 74.6405, note: 0.6136723
time: 74.70042, note: 1.4720922
time: 74.760666, note: 0.6409447
time: 74.840416, note: 1.3021932
time: 74.90041, note: 1.3179723
time: 74.96042, note: 1.3230951
time: 75.0205, note: 0.6616368
time: 75.08058, note: 0.54929954
time: 75.1405, note: 0.5723525
time: 75.20042, note: 1.4375973
time: 75.260414, note: 1.3534487
time: 75.340416, note: 1.3966401
time: 75.4005, note: 0.612339
time: 75.46042, note: 1.3051581
time: 75.5205, note: 0.5554929
time: 75.580414, note: 1.4979986
time: 75.64042, note: 1.4902143
time: 75.7005, note: 0.5530306
time: 75.7805, note: 0.55997014
time: 75.840416, note: 1.2327093
time: 75.90041, note: 1.4272714
time: 75.95758, note: 0.98072034
time: 76.0205, note: 0.5017401
time: 76.0805, note: 0.5200044
time: 76.14042, note: 1.1058545
time: 76.200584, note: 1.2037096
time: 76.2605, note: 1.4993137
time: 76.31917, note: 1.0203786
time: 76.3805, note: 0.5275508
time: 76.435, note: 1.0026014
time: 76.500496, note: 0.5695234
time: 76.56042, note: 1.3918577
time: 76.620415, note: 1.44317
time: 76.72058, note: 1.3210992
time: 76.78042, note: 1.186666
time: 76.840416, note: 1.2909852
time: 76.90041, note: 1.426369
time: 76.96042, note: 1.0995773
time: 77.0205, note: 0.6540697
time: 77.0805, note: 1.2896575
time: 77.145836, note: 0.61793065
time: 77.20042, note: 1.1076299
time: 77.2605, note: 0.941068
time: 77.32042, note: 1.4882231
time: 77.38042, note: 1.2198786
time: 77.440414, note: 1.3193471
time: 77.500496, note: 0.5334412
time: 77.5605, note: 0.92554235
time: 77.6805, note: 1.2600791
time: 77.74042, note: 1.3581764
time: 77.800415, note: 1.1030995
time: 77.86041, note: 0.9901752
time: 77.92042, note: 1.3553658
time: 77.9805, note: 0.88719505
time: 78.0405, note: 0.88199955
time: 78.10042, note: 1.3227454
time: 78.1605, note: 1.0600816
time: 78.2205, note: 0.74012184
time: 78.28042, note: 1.2665875
time: 78.340416, note: 1.2758596
time: 78.4005, note: 0.5823239
time: 78.46042, note: 1.3817126
time: 78.52042, note: 1.4706092
time: 78.58058, note: 1.4574052
time: 78.64042, note: 1.253359
time: 78.70042, note: 1.2338083
time: 78.7605, note: 0.6461501
time: 78.82042, note: 1.1555358
time: 78.8805, note: 0.86717474
time: 78.940414, note: 1.3666728
time: 79.00042, note: 1.2840413
time: 79.160416, note: 0.9545359
time: 79.22041, note: 1.4857556
time: 79.28042, note: 1.0848746
time: 79.3405, note: 0.5460448
time: 79.4005, note: 0.51821685
time: 79.4605, note: 0.7927953
time: 79.5205, note: 0.7697683
time: 79.5805, note: 1.271484
time: 79.64042, note: 1.3519311
time: 79.7005, note: 0.56633306
time: 79.760414, note: 1.3435299
time: 79.82042, note: 1.4648507
time: 79.8805, note: 0.9300414
time: 79.9405, note: 0.94892395
time: 80.00058, note: 1.188627
time: 80.0605, note: 1.1784093
time: 80.11533, note: 0.9055972
time: 80.16583, note: 0.75697875
time: 80.22041, note: 1.2268648
time: 80.2805, note: 0.6458514
time: 80.33375, note: 0.96829
time: 80.38583, note: 0.771087
time: 80.4405, note: 0.9036399
time: 80.54041, note: 1.3319823
time: 80.595245, note: 0.96804535
time: 80.64575, note: 1.4573367
time: 80.70042, note: 1.0912879
time: 80.760414, note: 1.2572051
time: 80.820496, note: 0.8894107
time: 80.8805, note: 0.5580969
time: 80.980415, note: 1.3183361
time: 81.04583, note: 1.2758172
time: 81.09675, note: 1.007182
time: 81.15566, note: 1.0933403
time: 81.20583, note: 0.64964676
time: 81.260414, note: 1.4172871
time: 81.32042, note: 1.4894968
time: 81.3805, note: 0.69285685
time: 81.500496, note: 1.1236224
time: 81.56042, note: 1.3814784
time: 81.620415, note: 1.4005481
time: 81.67433, note: 0.9811395
time: 81.72583, note: 0.8010465
time: 81.7805, note: 0.7561074
time: 81.84583, note: 1.2717267
time: 81.92067, note: 1.4216924
time: 81.979, note: 1.0874623
time: 82.04041, note: 1.453604
time: 82.10042, note: 1.4074059
time: 82.1605, note: 0.65027577
time: 82.2205, note: 0.63295364
time: 82.2805, note: 0.6262001
time: 82.3405, note: 0.88946086
time: 82.46042, note: 1.3144622
time: 82.52042, note: 1.3667098
time: 82.580414, note: 1.3299975
time: 82.64042, note: 1.4904261
time: 82.7005, note: 1.1336683
time: 82.7605, note: 0.6723754
time: 82.82066, note: 1.0410792
time: 82.9205, note: 1.4863842
time: 82.980415, note: 1.268438
time: 83.04041, note: 1.47125
time: 83.09625, note: 1.3547533
time: 83.1605, note: 0.5962868
time: 83.22041, note: 1.3528546
time: 83.28042, note: 1.4888151
time: 83.4005, note: 1.3918979
time: 83.46042, note: 1.3684719
time: 83.52042, note: 1.3916311
time: 83.580414, note: 1.1710969
time: 83.640495, note: 0.5098207
time: 83.7005, note: 0.64600253
time: 83.760414, note: 1.4312526
time: 83.8805, note: 0.85629934
time: 83.940414, note: 1.3039546
time: 84.00041, note: 1.4319113
time: 84.06042, note: 1.1088457
time: 84.120415, note: 1.2282043
time: 84.1805, note: 0.5893427
time: 84.24042, note: 1.0609542
time: 84.3405, note: 1.4847646
time: 84.40041, note: 1.1954308
time: 84.46042, note: 1.2045155
time: 84.51833, note: 1.4202508
time: 84.580414, note: 1.2436438
time: 84.640495, note: 0.6244335
time: 84.7005, note: 0.87618554
time: 84.78058, note: 0.77279997
time: 84.88042, note: 1.023499
time: 84.940414, note: 1.3791237
time: 85.00041, note: 1.3230846
time: 85.0605, note: 1.0447987
time: 85.120415, note: 1.3640492
time: 85.1805, note: 0.65827596
time: 85.245834, note: 0.7981284
time: 85.32042, note: 1.3995619
time: 85.3805, note: 0.7368942
time: 85.440414, note: 1.4795191
time: 85.500496, note: 0.69513524
time: 85.5605, note: 0.83716506
time: 85.620415, note: 1.3870348
time: 85.6805, note: 0.6895567
time: 85.7805, note: 1.388014
time: 85.840416, note: 1.320576
time: 85.90041, note: 1.3242252
time: 85.96042, note: 1.0145242
time: 86.02042, note: 1.3309946
time: 86.080414, note: 1.4476336
